Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
23	:	1775631405.387	  6734.800	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_000835755.1; chmod 777 benchmarking_results/braker3/GCF_000835755.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_000835755.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_000835755.1 --threads=8 --fungus --gff3
24	:	1775638140.743	  9709.864	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_009017415.1; chmod 777 benchmarking_results/braker3/GCF_009017415.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_009017415.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_009017415.1 --threads=8 --fungus --gff3
25	:	1775647851.150	 15920.870	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_021901695.1; chmod 777 benchmarking_results/braker3/GCF_021901695.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_021901695.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_021901695.1 --threads=8 --fungus --gff3
26	:	1775663772.547	 32282.501	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_026210795.1; chmod 777 benchmarking_results/braker3/GCF_026210795.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_026210795.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_026210795.1 --threads=8 --fungus --gff3
27	:	1775696055.623	  8810.426	0	124	0	0	mkdir -p benchmarking_results/braker3/GCF_033473495.1; chmod 777 benchmarking_results/braker3/GCF_033473495.1; docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data teambraker/braker3:v3.0.7.6 braker.pl --genome=/data/benchmarking_dataset/GCF_033473495.1/chromosomes.fna --prot_seq=/data/orthodb/odb12v2_og_aa_filtered.faa --workingdir=/data/benchmarking_results/braker3/GCF_033473495.1 --threads=8 --fungus --gff3
28	:	1775704866.597	   725.390	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCA_964035595.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCA_964035595.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
29	:	1775705592.508	   197.715	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_000143535.2/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_000143535.2.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
30	:	1775705790.730	    85.990	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_000146045.2/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_000146045.2.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
31	:	1775705877.264	   251.312	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_000240135.3/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_000240135.3.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
32	:	1775706129.107	   264.401	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_000835755.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_000835755.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
33	:	1775706394.025	   219.026	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_009017415.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_009017415.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
34	:	1775706613.604	   696.810	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_021901695.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_021901695.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
35	:	1775707310.953	   737.034	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_026210795.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_026210795.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
36	:	1775708048.513	   199.677	0	0	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data geneml geneml /data/benchmarking_dataset/GCF_033473495.1/chromosomes.fna -o /data/benchmarking_results/geneml/GCF_033473495.1.gff3 --model /data/models/benchmarking_final.keras --context-length 800 --cores 8 --cpu-only
37	:	1775708248.704	   442.075	0	56045	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCA_964035595.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCA_964035595.1.gff3 --lineage fungi
38	:	1775708691.333	   554.503	0	81813	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_000143535.2/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_000143535.2.gff3 --lineage fungi
39	:	1775709246.383	   178.368	0	72548	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_000146045.2/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_000146045.2.gff3 --lineage fungi
40	:	1775709425.280	   491.837	0	84981	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_000240135.3/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_000240135.3.gff3 --lineage fungi
41	:	1775709917.635	   324.914	0	69542	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_000835755.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_000835755.1.gff3 --lineage fungi
42	:	1775710243.103	   500.397	0	45914	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_009017415.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_009017415.1.gff3 --lineage fungi
43	:	1775710744.034	  1312.555	0	676517	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_021901695.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_021901695.1.gff3 --lineage fungi
44	:	1775712057.151	  1940.882	0	139609	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_026210795.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_026210795.1.gff3 --lineage fungi
45	:	1775713998.604	   489.701	0	52907	0	0	docker run --rm --cpuset-cpus=0-7 --cpuset-mems=0 -v /data/lisvad/geneml:/data helixer-with-models Helixer.py --fasta-path /data/benchmarking_dataset/GCF_033473495.1/chromosomes.fna --gff-output-path /data/benchmarking_results/helixer_with_UTR/GCF_033473495.1.gff3 --lineage fungi
